5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Supported/Not
Supported/Noting
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
589,Q1 2023/24,New,2023/05/25,"Department of Higher Education and Training
(DHET)","appointment of Skukuza South African National Parks and Kruger
Gate Hotel (overflow) to host BRICS meeting of Minister of Higher Education and
training, from 12 to 16 July 2023",Gemini Moon Trading 7,R1 209 979.50,"Skukuza Lodge is 5km away from skukuza airport which is an advantage to reduce the
time of travelling for delegates and (VIP's) Ministers. The facility has a medical doctor on
site to assist paramedics who will be on duty for duration of the event.",Noting,2023/05/24,2023/07/12,2023/07/16,Reported
590,Q1 2023/24,New,2023/05/26,"Department of Higher Education and Training
(DHET)","Renewal of industry professional membership for government information technology
officer(GITO) officials",IT Web,R30 170.25,"GITO officials are affiliated with industry professional bodies like ITWeb.therefore, it is
necessary GITO officials to attend ITWeb security summit 2023 to keep abreast with
industry standards and local and globally",Noting,2023/05/25,2023/05/26,2023/06/24,Reported
591,Q1 2023/24,New,2023/03/20,"Finance and Accounting Services Sector Education
and Training Authority (Fasset)SETA",Board pack Software for a period of three (3) years,"The Institute of Directors in Southern
Africa",R767 337.50,Board pack Software for a period of three (3) years,Noting,2023/03/16,Once off,Once off,Reported
592,Q1 2023/24,New,2023/06/12,South African Weather Service,"Appointment of ERO Electronics SA (Pty) Ltd as a sole supplier for services and
spares of the Thermo Fisher Scientific Air Quality Monitoring Instruments owned by
the SAWS for a period of three years",ERO Electronics SA (Pty) LTD,R4 000 000.00,"SAWS is required to enter into a service contract with a service provider who can repair
and provide spares for Thermo Fisher Scientific instruments. For the SAWS to ensure
optimal operations the turnaround time for the repairs must be efficient. The contract
with service providers or suppliers of the instrument will assist the priority networks to
improve the data recovery and ensure continuous operation of the networks with minimal
loss of data due to instrument failures. For this purpose, the SAWS is required to have a
service contract with service providers or instrument suppliers. These instruments are
imported and distributed exclusively in South Africa by ERO Electronics SA (Pty) Ltd,
who are the sole and exclusive distributor of Thermo Fisher Scientific instrument.",Noting,2023/05/25,2023/06/01,2026/05/31,Reported
593,Q1 2023/24,New,2023/06/12,South African Weather Service,"Procurement of the South African Air Quality Information System (SAAQIS)
Performance Maintenance and Support with Envitech for 5 years",Envitech,R18 795 477.00,"Continuation of Service, in the past 5 years while SAWS had the initial contract with
Envitech, extensive upgrades (Customization) have been made on all the modules at the
request of both SAWS and DFFE, some of these changes were specific and unique
which were developed at additional cost. It is therefore important to note that the
SAAQIS has evolved and been refined over the last 5 years to meet both DFFE and
SAWS needs.",Noting,2023/06/05,2023/08/01,2028/07/31,Reported
594,Q1 2023/24,New,2023/06/12,South African Weather Service,"Appointment of INTELTRONICS as a sole supplier for services and spares for RM
YOUNG instrumentation for a period of three years on an as and when required basis",Inteltronics,R2 900 000.00,INTELTRONICS are the sole and exclusive distributor of RM YOUNG instruments.,Noting,2023/06/06,2023/07/01,2026/06/30,Reported
595,Q1 2023/24,New,2023/05/18,Agrément South Africa,Annual Subscription of SABS Standard,South African Bureau of Standard,R40 147.83,"A year's subscription (annual renewal) of standards from South African Bureau of
Standards",Noting,2022/05/09,2022/05/09,2022/06/07,Reported
596,Q1 2023/24,New,2023/05/18,Agrément South Africa,Psychometric tests for CFO Position,EquipSA,R19 998.50,Competency Assessment,Noting,2021/05/12,2022/05/12,2022/05/28,Reported
597,Q1 2023/24,New,2023/05/18,Agrément South Africa,MIE Screening for CFO Position,Managed Intergrated Evaluation,R2 613.70,Screening of candidates,Noting,2022/07/02,2022/07/21,2022/09/29,Reported
598,Q1 2023/24,New,2023/05/18,Agrément South Africa,The Big 5 Construct Southern Africa EXPO 2022,DMG Exhibition Management Services,R36 742.50,To participate in the exhibition for marketing purpose,Noting,2022/05/16,2022/05/16,2022/06/15,Reported
599,Q1 2023/24,New,2023/05/18,Agrément South Africa,MIE Screening for Internal Audit Specialist,Managed Integrated Evaluation,R2 415.10,Screening of candidates,Noting,2022/07/21,2022/07/21,2022/08/12,Reported
600,Q1 2023/24,New,2023/05/18,Agrément South Africa,MIE Screening for Eco-Labelling Manager & Admin and Technical Officer,Managed Intergrated Evaluation,R3 882.90,Screening of candidates,Noting,2022/07/21,2022/07/21,2022/08/12,Reported
601,Q1 2023/24,New,2023/05/18,Agrément South Africa,SABC Media Campaign,SABC,R78 494.40,To run a media campaign on SABC for Marketing purposes,Noting,2022/06/10,2022/06/10,2022/10/14,Reported
602,Q1 2023/24,New,2023/05/18,Agrément South Africa,Catering for DPWI Ministers,Lavan Services,R12 000.00,To cater for DPWI Minister from Department of Public Works and Infrastructure,Noting,2022/04/05,2022/04/05,2022/04/14,Reported
603,Q1 2023/24,New,2023/05/18,Agrément South Africa,"MIE Screeening for QA Specialist, FM, QA Intern & Group Asstant",Managed Intergrated Evaluation,R6 085.08,Screening of Candidates,Noting,2022/08/12,2022/08/12,2022/09/29,Reported
604,Q1 2023/24,New,2023/05/18,Agrément South Africa,ecoASA Trade Marks,Adams & Adams,R55 097.20,Trademark registration,Noting,2022/09/02,2022/09/02,2023/03/31,Reported
605,Q1 2023/24,New,2023/05/18,Agrément South Africa,Grammarly,Grammarly,R220 000.00,Grammarly software,Noting,2022/09/06,2022/09/06,2022/10/19,Reported
606,Q1 2023/24,New,2023/05/18,Agrément South Africa,Purchase of Marketing Collateral for ecoASA Launch,Tapadi Solutions,R86 250.00,Marketing collateral - Less than 3 qoutes,Noting,2022/09/21,2022/09/21,2022/10/14,Reported
607,Q1 2023/24,New,2023/05/18,Agrément South Africa,Live Reads on Capricorn FM,MSG Group Sales,R60 720.00,Regional radio campaign,Noting,2022/10/03,2022/10/03,2022/11/11,Reported
608,Q1 2023/24,New,2023/05/18,Agrément South Africa,Mental Health Awareness,ICAS,R4 324.00,Employee wellness,Noting,2022/10/18,2022/10/18,2022/11/24,Reported
609,Q1 2023/24,New,2023/05/18,Agrément South Africa,Project Management Professional (Mihloti Mahlaule),Global Headquarters,R25 000.00,International accreditation - employee training,Noting,2022/11/22,2022/11/22,2023/01/31,Reported
610,Q1 2023/24,New,2023/05/18,Agrément South Africa,Board and Committee Evaluation,IODSA,R178 882.50,Board evaluations,Noting,2022/11/17,2022/11/17,2023/03/31,Reported
611,Q1 2023/24,New,2023/05/18,Agrément South Africa,TECO Material (Polymer) Expert,"Appointed 2 Experts: Tenmud
Investments and Scientific Testing and
Consulting Services",R13 998.00,Technical Expert,Noting,2022/11/30,2022/11/30,2023/03/31,Reported
612,Q1 2023/24,New,2023/05/18,Agrément South Africa,"Procurement of Structural Experts to review and provide their opinion on eco-labelling
specifications at technical committee","AMA Consulting and Structural
Engineers",R6 999.00,Technical Expert,Noting,2022/12/08,2022/12/08,2023/03/31,Reported
613,Q1 2023/24,New,2023/05/18,Agrément South Africa,"Procurement of an environment or eco-labelling expert to review and provide eco-
labelling specifications at the technical committee","Appointed 2 Experts: One33 Sea Vista
and Scientific Testing and Consulting",R13 998.00,Technical Expert,Noting,2022/12/08,2022/12/08,2023/03/31,Reported
614,Q1 2023/24,New,2023/05/18,Agrément South Africa,CGISA - Programme 2 Modules,South African College of Business,R20 580.00,Training for employees,Noting,2022/09/01,2022/09/01,2023/08/20,Reported
615,Q1 2023/24,New,2023/05/18,Agrément South Africa,Foundations of Business Management Course,GetSmarter,R13 500.00,Training for employees,Noting,2023/01/24,2023/01/24,2023/01/24,Reported
616,Q1 2023/24,New,2023/05/18,Agrément South Africa,Project Management Foundations Course,GetSmarter,R14 900.00,Training for employees,Noting,2023/01/31,2023/01/31,2023/01/31,Reported
617,Q1 2023/24,New,2023/05/18,Agrément South Africa,Project Management Foundations Course,UCT,R25 000.00,Training for employees,Noting,2022/11/22,2022/11/22,2022/11/22,Reported
618,Q1 2023/24,New,2023/05/18,Agrément South Africa,ICAS Talk for ASA employees,ICAS,R4 992.00,Employee wellness,Noting,2023/03/07,2023/03/07,2023/03/07,Reported
619,Q1 2023/24,New,2023/05/18,Agrément South Africa,Government handbooks,Yes Media,R115 345.00,Advertising,Noting,2023/03/16,2023/03/23,2024/03/22,Reported
620,Q1 2023/24,New,2023/05/18,Agrément South Africa,Labour Law,Gildenhuys Malatji,R300 000.00,Legal services required urgently,Noting,2023/03/14,2023/03/14,2024/03/13,Reported
621,Q1 2023/24,New,2023/05/09,National Research Foundation (NRF),"Service and Qualification of the Agilent
1100 HPLC and HPLC Agilent 1200",Chemetrix Export,R81 203.25,"Sole source: Agilent Technologies are the manufacturer of the equipment that
needs the service and qualification. Chemetrix is the sole authorized agent of
Agilent Technologies making them the sole authorized to perform this
validation.",Noting,2023/04/25,Once off,Once off,Reported
622,Q1 2023/24,New,2023/05/09,National Research Foundation (NRF),"Procurement of peristaltic Tubing forms
Watson Marlow Bredel SA Pty Ltd.",Watson-Marlow Bredel SA,R23 977.20,"Single Source: This tubing is well in line with the quality assurance
requirements of the Nuclear Medicine Department. The catalogue number and
the description of the tubing forms part of the production and quality control
documents. The productions were validated using these specific tubing and
production documentation is controlled and restricted but may be viewed upon
request. Watson Marlow Fluid Technology Group is the manufacturer and sole
distributor of the Tubing forms.",Noting,2023/04/25,Once off,Once off,Reported
623,Q1 2023/24,New,2023/05/09,National Research Foundation (NRF),Repairs of the Shimadzu System and Procurement of Spares,Advanced African Technology,R19 677.65,"Sole Source: Shimadzu South Africa (Pty) Ltd is the manufacturer of the
equipment that needs the repairs. Advanced African Technology is the sole
authorized agent of Shimadzu South Africa (Pty) Ltd.",Noting,2023/04/25,Once off,Once off,Reported
624,Q1 2023/24,New,2023/05/09,National Research Foundation (NRF),Procurement of MIR-source for the Tensor 27 FTIR from Bruker.,Bruker SA Pty Ltd,R9 864.70,"Sole source: Bruker is the manufacturer of the equipment (Tensor 27 FTIR)
that needs the MIR-source. Bruker South Africa is the sole authorized agent of
Bruker.",Noting,2023/04/25,Once off,Once off,Reported
625,Q1 2023/24,New,2023/05/09,National Research Foundation (NRF),Share of SCOAP3 Phase 3 Membership Fee,"South African National Library Services
(SANLIC)",R23 370.53,"South Africa forms part of the Sponsoring Consortium for Open
Single source:
Access Publishing in Particle Physics (SCOAP) collaborated with the South
African National Library Services (SANLIC), which NRF-iThemba LABS is an
institutional member which Share of SCOAP3 (Phase 3) Membership should
be paid.",Noting,2023/04/24,Once off,Once off,Reported
626,Q1 2023/24,New,2023/05/09,National Research Foundation (NRF),Diesel,JWL Motors BK,R65 400.00,"Emergency: On nearing the re-order level, SAAO initiated the normal
procurement process for Diesel replenishment. SAAO is currently in the
process of using the suppliers on the RT 70, but the supplier who quoted and
got the order are only able to deliver on Tuesday 25 April 2023 due transport
availability. • Due to this we need to do emergency procurement for at least
3,000 litres to cope with the load shedding schedule. • Not procuring these
emergency supplies places the SAAO infrastructure and the several hosted
experiments at risk of operational failure. • Two local suppliers provided
quotes. Williston Landbou Co-op did not respond.• Petrol rate comparison:
JWL MOTORS R21,80, Sutherland landbou R22,13",Noting,2023/04/21,Once off,Once off,Reported
627,Q1 2023/24,New,2023/05/09,National Research Foundation (NRF),Emergency LPG gas,Sutherlandse Landboukooperasie,"R4 208, 60","Emergency: • LPG gas – hostel is using the last cylinder and they need
replacement gas of gas for the remainder of the month.",Noting,2023/04/21,Once off,Once off,Reported
628,Q1 2023/24,New,2023/05/09,National Research Foundation (NRF),For annual licence maintenance for Siemens Teamcenter software licences.,Simera Innovate (Pty) Ltd,R62 645.10,"Sole: SAAO currently has development contracts with the SALT organisation.
SALT standardised on the Siemens TeamcenterTM (life cycle management
software) software for development and technical data capture. SAAO thus
needs Teamcenter licences. SAAO purchased licences in 2020 as well as 3
years of licence maintenance. The maintenance cycle has now lapsed and it is
necessary to renew it.This procurement is thus for an additional year of licence
maintenance from Simera Innovate.Simera Innovate (Pty) Ltd is the sole
authorised provider of the licence maintenance in South Africa",,2023/04/24,Once off,Once off,Reported
629,Q1 2023/24,New,2023/05/09,National Research Foundation (NRF),SAAO Standby Generator Replacement,JGP project Engineering (Pty) Ltd,"R 11 176,90","Single Source: The Deviation’s Scope of Work Summary (including outputs
and detail description of what is being procured) Generator Replacement•
Revised Tender Documents & SOQ• Provision to Resolve Tender Queries•
Tender Evaluation• Site visit Disbursements• Documents and Drawings
Reasons for Deviating from open and competitive bidding process Based on
the tender results we were unable to find suitable suppliers for the supply & fit
of the 300kVa generator. This has resulted in SAAO needing to re advertise &
realign the specification accordingly. The appointed Electrical Engineer needs
to revisit the specification as well as spend more man hours evaluating the
second round of proposals,",Noting,2023/04/25,Once off,Once off,Reported
630,Q1 2023/24,New,2023/05/09,National Research Foundation (NRF),Monthly maintenance and service fee for the water filtration plant.,Aqua King SA (Pty) Ltd,R80 000.00,"Single Source: The service provider who installed their propriety Water
Filtration System at Sutherland, Aqua King SA, after a competitive bidding
process, are currently used to service the system on a monthly basis.
We prefer that the original equipment manufacturer (OEM) of the system
maintains the equipment to ensure that it the system do not become less
effective and result in water quality that is not up to the SANS 241 Drinking
Water Quality standard.SAAO have been using this service provider since the
installation and are satisfied with Aqua King’s level of professionalism and
efficiency.CPI price increase of 7% as from 1 November 2022",Noting,2023/04/26,Once off,Once off,Reported
