row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,
667,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Inzalo Property Development,"R 15 875,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
668,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Inzalo Property Development,"R 34 065,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
669,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Imizi Trading,"R 18 600,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
670,Q3 2023/24,2023/12/06,"South African Social Security Agency (SASSA)
South African Social Security Agency (SASSA)","Supply and delivery of meals,blankets, matrass and dignity packs",Imizi Trading,"R 7 805,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
671,Q3 2023/24,2023/12/06,,"Supply and delivery of meals,blankets, matrass and dignity packs",Imizi Trading,"R 9 050,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
672,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Imizi Trading,"R 25 045,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
673,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Imizi Trading,"R 22 700,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
674,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Mavula 1,"R 6 825,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
675,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Mavula 1,"R 6 825,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
676,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Nade Holdings,"R 34 050,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
677,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",BJM Holdings,"R 9 080,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
678,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Sibotembi,"R 9 050,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
679,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Zisithemba Trading,"R 29 555,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
680,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Hero Trade Pty Ltd,"R 11 335,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
681,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Sibotembi,"R 4 540,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
682,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",JRM Family Enterprise,"R 9 110,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
683,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Ntange Construction,"R 6 825,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
684,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Ntange Construction,"R 27 210,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
685,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Ntange Construction,"R 30 505,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
686,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Excel SV Group,"R 6 805,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
687,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Excel SV Group,"R 18 190,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
688,Q3 2023/24,2023/09/22,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",ARMCO Trading,"R 4 510,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/13,Once off,Once off,,
689,Q3 2023/24,2023/09/22,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",ARMCO Trading,"R 13 590,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/13,Once off,Once off,,
690,Q3 2023/24,2023/09/22,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",ARMCO Trading,"R 83 885,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/13,Once off,Once off,,
691,Q3 2023/24,2023/09/22,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",ARMCO Trading,"R 15 935,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/13,Once off,Once off,,
692,Q3 2023/24,2023/09/22,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Freefall Trading,"R 25 965,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/13,Once off,Once off,,
693,Q3 2023/24,2023/09/22,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Freefall Trading,"R 24 985,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/13,Once off,Once off,,
694,Q3 2023/24,2023/09/22,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Junicho Trading &Project,"R 9 050,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/18,Once off,Once off,,
